sep=\t
Module Resource Usage Distribution Estimates
Generated at: Feb 08, 2024 11:42:37

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
top_soc:top_soc                                             	   23740(0)	      12(0)	    3743(0)	   35647(1)	     0(0)	   868(0)	    25(0)	
 +io_asyncResetn_sync:reset_synchronizer                    	       2(2)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +soc_inst:soc                                              	   23738(0)	      11(0)	    3743(0)	   35645(0)	     0(0)	   868(0)	    25(0)	
  +u_EfxSapphireSoc:EfxSapphireSoc_3c5c6ba8cd47460daa75b7c3d4f9b3fe	23738(3300)	      11(0)	   3743(36)	35645(1767)	     0(0)	   868(0)	    25(0)	
   +system_cores_0_logic_cpu:VexRiscv_3c5c6ba8cd47460daa75b7c3d4f9b3fe	 3484(2486)	       1(0)	   545(386)	 6067(4521)	     0(0)	   148(4)	     4(4)	
    +IBusCachedPlugin_cache:InstructionCache_3_3c5c6ba8cd47460daa75b7c3d4f9b3fe	   117(117)	       0(0)	       6(6)	   286(286)	     0(0)	   48(48)	     0(0)	
    +dataCache_4:DataCache_3_3c5c6ba8cd47460daa75b7c3d4f9b3fe	   881(881)	       0(0)	   153(153)	 1260(1260)	     0(0)	   96(96)	     0(0)	
    +systemCd_logic_outputReset_buffercc:BufferCC_10_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       0(0)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +system_cores_1_logic_cpu:VexRiscv_1_3c5c6ba8cd47460daa75b7c3d4f9b3fe	 3473(2483)	       1(0)	   545(386)	 6003(4449)	     0(0)	   148(4)	     4(4)	
    +IBusCachedPlugin_cache:InstructionCache_3_3c5c6ba8cd47460daa75b7c3d4f9b3fe	   119(119)	       0(0)	       6(6)	   296(296)	     0(0)	   48(48)	     0(0)	
    +dataCache_4:DataCache_3_3c5c6ba8cd47460daa75b7c3d4f9b3fe	   871(871)	       0(0)	   153(153)	 1258(1258)	     0(0)	   96(96)	     0(0)	
    +systemCd_logic_outputReset_buffercc:BufferCC_10_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       0(0)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +system_cores_2_logic_cpu:VexRiscv_2_3c5c6ba8cd47460daa75b7c3d4f9b3fe	 3468(2484)	       1(0)	   545(386)	 5865(4402)	     0(0)	   148(4)	     4(4)	
    +IBusCachedPlugin_cache:InstructionCache_3_3c5c6ba8cd47460daa75b7c3d4f9b3fe	   119(119)	       0(0)	       6(6)	   294(294)	     0(0)	   48(48)	     0(0)	
    +dataCache_4:DataCache_3_3c5c6ba8cd47460daa75b7c3d4f9b3fe	   865(865)	       0(0)	   153(153)	 1169(1169)	     0(0)	   96(96)	     0(0)	
    +systemCd_logic_outputReset_buffercc:BufferCC_10_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       0(0)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
